"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WCR3VANS","journalArticle","2016","Bhargava, Ajay; Anant, Madan; Mack, Hildegard","Registered report: Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF","Elife","","2050-084X","10.7554/elife.11999","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errinton et al., 2014). This Registered Report describes the proposed replication plan of key experiments from ""Kinase-dead BRAF and oncogenic RAS cooperate to drive tumor progression through CRAF"" by Heidorn and colleagues, published in Cell in 2010 (Heidorn et at, 2010). The experiments to be replicated are those reported in Figures 1A, 1 B, 3A, 3B, and 4D. Heidorn and colleagues report that paradoxical activation of the RAF-RAS-MEK-ERK pathway by BRAF inhibitors when applied to BRAF(WT) cells is a result of BRAF/CRAF heterodimer formation upon inactivation of BRAF kinase activity, and occurs only in the context of active RAS. The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.","2016-02-17","2019-10-07 21:19:59","2019-10-08 22:06:27","","e11999","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000371874200001","","C:\Users\zn18986\Zotero\storage\UYLJPRKH\Bhargava et al. - 2016 - Registered report Kinase-dead BRAF and oncogenic .pdf","","melanoma; resistance; cell proliferation; hyperactivation; inhibitors; mutations; paradoxical activation; plx4032; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GWR3N9GI","journalArticle","2016","Bhargava, Ajay; Pelech, Steven; Woodard, Ben; Kerwin, John; Maherali, Nimet","Registered report: RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth","Elife","","2050-084X","10.7554/elife.09976","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of selected experiments from a number of high-profile papers in the field of cancer biology. The papers, which were published between 2010 and 2012, were selected on the basis of citations and Altmetric scores (Errington et al., 2014). This Registered Report describes the proposed replication plan of key experiments from 'RAF inhibitors prime wild-type RAF to activate the MAPK pathway and enhance growth' by Hatzivassiliou and colleagues, published in Nature in 2010 (Hatzleassinou et al., 2010). Hatzivassiliou and colleagues examined the paradoxical response of RAF-WT tumors to treatment with RAF inhibitors. The key experiments being replicated include Figure 1A, in which the original authors demonstrated that treatment of a subset of BRAF(WT) tumor cell lines with RAF small molecule inhibitors resulted in an increase in cell viability, Figure 2B, which reported that RAF inhibitor activation of the MAPK pathway was dependent on CRAF but not BRAF, and Figure 4A, where the dimerization of BRAF and CRAF was modulated by the RAF inhibitor PLX4720, but not GDC-0879. The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.","2016-02-16","2019-10-07 21:19:59","2019-10-08 22:06:27","","e09976","","","5","","eLife","","","","","","","","English","","","","","","","WOS:000371871900001","","C:\Users\zn18986\Zotero\storage\NGBYT6Z2\Bhargava et al. - 2016 - Registered report RAF inhibitors prime wild-type .pdf","","resistance; braf; cell proliferation; plx4032; braf(v600e); melanoma-cells; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3TITIBF","journalArticle","2018","Bloomfield, Robert; Rennekamp, Kristina; Steenhoven, Blake","No System Is Perfect: Understanding How Registration-Based Editorial Processes Affect Reproducibility and Investment in Research Quality","Journal of Accounting Research","","0021-8456","10.1111/1475-679x.12208","","The papers in this volume were published through a Registration-based Editorial Process (REP). Authors submitted proposals to gather and analyze data; successful proposals were guaranteed publication as long as the authors lived up to their commitments, regardless of whether results supported their predictions. To understand how REP differs from the Traditional Editorial Process (TEP), we analyze the papers themselves; conference comments; a survey of conference authors, reviewers, and attendees; and a survey of authors who have successfully published under TEP. We find that REP increases up-front investment in planning, data gathering, and analysis, but reduces follow-up investment after results are known. This shift in investment makes individual results more reproducible, but leaves articles less thorough and refined. REP could be improved by encouraging selected forms of follow-up investment that survey respondents believe are usually used under TEP to make papers more informative, focused, and accurate at little risk of overstatement.","2018-05","2019-10-07 21:19:59","2019-10-28 21:00:52","","313-362","","2","56","","J. Account. Res.","","","","","","","","English","","","","","","","WOS:000430467200001","","C:\Users\zn18986\Zotero\storage\3IGBRAJP\Bloomfield et al. - 2018 - No System Is Perfect Understanding How Registrati.pdf","","empirical; include_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8V3UUJKU","journalArticle","2015","Blum, David; Hao, Haiping; McCarthy, Michael","Registered report: Transcriptional amplification in tumor cells with elevated c-Myc","Elife","","2050-084X","10.7554/elife.04024","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of 50 papers in the field of cancer biology published between 2010 and 2012. This Registered report describes the proposed replication plan of key experiments from 'Transcriptional amplification in tumor cells with elevated c-Myc' by Lin et al. (2012), published in Cell in 2012. The experiments that will be replicated are those reported in Figures 3E and 3F. In these experiments, elevated levels of c-Myc in the P493-6 cell model of Burkitt's lymphoma results in an increase of the total level of RNA using UV/VIS spectrophotometry (Figure 3E; Lin et al., 2012) and on the mRNA levels/cell for a large set of genes using digital gene expression technology (Figure 3F; Lin et al., 2012). The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published in eLife.","2015-01-26","2019-10-07 21:19:59","2019-10-08 22:06:27","","e04024","","","4","","eLife","","","","","","","","English","","","","","","","WOS:000348356200005","","C:\Users\zn18986\Zotero\storage\8EBV9BGD\Blum et al. - 2015 - Registered report Transcriptional amplification i.pdf","","growth; activation; line; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XGDTLI4","journalArticle","2014","Blum, David; LaBarge, Samuel","Registered report: Tumour micro-environment elicits innate resistance to RAF inhibitors through HGF secretion","Elife","","2050-084X","10.7554/elife.04034","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of 50 papers in the field of cancer biology published between 2010 and 2012. This Registered Report describes the proposed replication plan of key experiments from 'Tumour micro-environment elicits innate resistance to RAF inhibitors through HGF secretion' by Straussman and colleagues, published in Nature in 2012 (Straussman et al., 2012). The key experiments being replicated in this study are from Figure 2A, C, and D (and Supplemental Figure 11) and Figure 4C (and Supplemental Figure 19) (Straussman et al., 2012). Figure 2 demonstrates resistance to drug sensitivity conferred by co-culture with some stromal cell lines and identifies the secreted factor responsible as HGF. In Figure 4, Straussman and colleagues show that blocking the HGF receptor MET abrogates HGF's rescue of drug sensitivity. The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published by eLife.","2014-12-10","2019-10-07 21:19:59","2019-10-08 22:06:28","","e04034","","","3","","eLife","","","","","","","","English","","","","","","","WOS:000346170600004","","C:\Users\zn18986\Zotero\storage\XPKMEFTX\Blum and LaBarge - 2014 - Registered report Tumour micro-environment elicit.pdf","","biomarker; hepatocyte growth-factor; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CMMGD9SV","journalArticle","2018","Bowman, Nicholas David; Keene, Justin Robert","A Layered Framework for Considering Open Science Practices","Communication Research Reports","","0882-4096","10.1080/08824096.2018.1513273","","The open science movement, although not new to social science broadly, has gained momentum recently within communication science. In response, journals in our field have begun encouraging open science practices, from data and materials sharing to submitting preregistered research reports. However, this momentum has also led to some confusion over what is and is not considered open science and what the value of open sciences practices is. In this editorial we lay out an ""onion model"" of open science that describes increasing levels of transparency and suggests howopen science practices can be understood less as a revolutionary concept but more as a logical extension of some of the historical pillars of scientific norms. Through this model, we provide tangible steps for how scholarsmay begin thinking about how to introduce open science practices into their current and future empirical efforts.","2018","2019-10-07 21:19:59","2019-10-28 20:29:13","","363-372","","4","35","","Commun. Res. Rep.","","","","","","","","English","","","","","","","WOS:000445736200008","<p>At the center of our onion model would be a process that can make use of all previous layers, while adding an additional layer of transparency in that it allows reviewers<br />unprecedented access to an author’s early stages of research planning. Preregistered<br />reports [not peer reviewed &amp; peer reviewed]</p> <p> </p> <p>journal-directed, multistage, peer-reviewed preregistered<br />reports...usually involves perhaps the most<br />rigorous peer-reviewed scientific method.A 2017 special issue of Journal of<br />Media Psychology used such a two-stage review process and included manuscripts,<br />stimulus materials, data, codebooks, and even author-reviewer-editor correspondence<br />for public viewing in a common OSF space (https://osf.io/5cvkr/). Notably, Communication<br />Research Reports currently accepts stage one preregistered reports as one of<br />five submission types to the journal but does not have a requirement for authors to<br />make their stage one materials publicly available. Such an approach has been critiqued<br />as a weakness of the preregistration process (Hardwicke &amp; Ioannidis, in press), as<br />without publicly sharing stage one materials, readers are unable to assure that the<br />published manuscripts strictly adhered to the accepted stage one protocols. For this reason, CRR would strongly recommend authors submitting preregistered reports to<br />consider sharing materials online in coordination with CRR editors.</p> <p> </p> <p>With exception of stage one preregistered reports (which require authors to submit<br />preliminary documents that might not be part of their standard research process),<br />peeling back at least some of the layers around research requires a nominal amount of<br />additional effort on behalf of currently practicing researchers</p> <p> </p> <p>The two-step review process requires additional academic labor, in particular on the<br />behalf of reviewers, and some argue that simply engaging in additional rounds of peer<br />review does little to correct existing critiques of peer review processes (D’Andrea &amp;<br />O’Dwyer, 2017). Others debate the impact (pro and con) of preregistration practices on<br />scientific creativity, as was the focus of a recent issue of Perspectives on Psychological<br />Science (Volume 13, Number 4, online at http://journals.sagepub.com/toc/ppsa/13/4).<br />Conversely, the additional quality checks might save valuable time and resources in the<br />long run, as stage one review processes can help catch and correct errors early in the<br />research process that often cannot be corrected once data has been collected.</p>","C:\Users\zn18986\Zotero\storage\ZVQYFS8H\Bowman and Keene - 2018 - A Layered Framework for Considering Open Science P.pdf","","Transparency; Open Science; Preregistered Reports; Research Ethics; include; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAURI5EZ","journalArticle","2018","Campbell, Harlan; Gustafson, Paul","Conditional equivalence testing: An alternative remedy for publication bias","Plos One","","1932-6203","10.1371/journal.pone.0195145","","We introduce a publication policy that incorporates ""conditional equivalence testing"" (CET), a two-stage testing scheme in which standard NHST is followed conditionally by testing for equivalence. The idea of CET is carefully considered as it has the potential to address recent concerns about reproducibility and the limited publication of null results. In this paper we detail the implementation of CET, investigate similarities with a Bayesian testing scheme, and outline the basis for how a scientific journal could proceed to reduce publication bias while remaining relevant.","2018-04-13","2019-10-07 21:19:59","2019-10-28 20:52:11","","e0195145","","4","13","","PLoS One","","","","","","","","English","","","","","","","WOS:000430026900018","","C:\Users\zn18986\Zotero\storage\IXZIJ62Y\Campbell and Gustafson - 2018 - Conditional equivalence testing An alternative re.pdf","","include_key_critique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPZBGFPF","journalArticle","2015","Chambers, Christopher D.","TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS BEFORE RESULTS ARE KNOWN","Addiction","","0965-2140","10.1111/add.12728","","","2015-01","2019-10-07 21:19:59","2019-10-28 20:29:36","","10-11","","1","110","","Addiction","","","","","","","","English","","","","","","","WOS:000346699700004","<p>RRs enshrines the philosophy that hypothesis‐driven science should be judged by the importance of the research question and the robustness of the method, and never based on the outcome of hypothesis testing.</p> <p>RRs initiative offers benefits for science: (1 prevents publication bias because the results are not known during initial peer review. (2) Registering hypotheses in advance stops authors presenting a hypothesis derived from the data as though it was a priori [9]. (3) It prevents p-hacking by requiring authors to pre‐specify,in detail, their protocols for terminating data collection and analysing data. (4) boosts the reproducibility ofall findings, whether positive or negative, by setting high standards for prospective statistical power. (5) increases transparency by requiring data deposition in a public archive following study completion. (6) safeguards the publication of serendipitous findingsby ensuring that editors cannot reject papers based on the outcome of hypothesis tests. (7) It incentivizes replications by provisionally accepting them before authors invest resources required to repeat previous experiments. (8) It enables editors and specialist reviewers to help improve proposed methods before they are implemented. (9) It explicitly welcomes exploratory (unregistered) data analysis while also clearly distinguishing the outcomes of exploration from pre‐registered hypothesis testing. Finally, (10) it fulfils an important pedagogical role in reinforcing the value of precise a priori predictions and valid statistical practices.</p> <p>RRs for  existing data: consider existing data sets as split-half ‘discovery’ and ‘replication’ samples.</p> <p>Concerned editors to RRs cite risks to the journal's impact factor, perceived threats to exploratory research or the technical challenges in coordinating peer review.</p>","C:\Users\zn18986\Zotero\storage\MZQC4AJU\Chambers - 2015 - TEN REASONS WHY JOURNALS MUST REVIEW MANUSCRIPTS B.pdf","","reproducibility; publication bias; incentives; False positives; questionable research practices; registered reports; registered-reports; truth; study pre-registration; include; note","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIGHYFME","journalArticle","2017","Chambers, Christopher D.; Forstmann, Birte; Pruszynski, J. Andrew","Registered reports at the European Journal of Neuroscience: consolidating and extending peer-reviewed study pre-registration","European Journal of Neuroscience","","0953-816X","10.1111/ejn.13519","","","2017-03","2019-10-07 21:19:59","2019-10-29 18:05:49","","627-628","","5","45","","Eur. J. Neurosci.","","","","","","","","English","","","","","","","WOS:000398518300001","","C:\Users\zn18986\Zotero\storage\TRBI9FBC\Chambers et al. - 2017 - Registered reports at the European Journal of Neur.pdf","","editorial; truth; include; incentives_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PG7IVCNA","journalArticle","2019","Chambers, Christopher D.; Forstmann, Birte; Pruszynski, J. Andrew","Science in flux: Registered reports and beyond at the European Journal of Neuroscience","European Journal of Neuroscience","","0953-816X","10.1111/ejn.14319","","","2019-01","2019-10-07 21:19:59","2019-10-29 18:05:36","","4-5","","1","49","","Eur. J. Neurosci.","","","","","","","","English","","","","","","","WOS:000456800400002","","C:\Users\zn18986\Zotero\storage\6JZX4MME\Chambers et al. - 2019 - Science in flux Registered reports and beyond at .pdf","","editorial; include_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKVFEMPW","journalArticle","2018","Chambers, Christopher D.; Mellor, David T.","Protocol transparency is vital for registered reports","Nature Human Behaviour","","2397-3374","10.1038/s41562-018-0449-6","","","2018-11","2019-10-07 21:19:59","2019-10-28 22:45:01","","791-792","","11","2","","Nat. Hum. Behav.","","","","","","","","English","","","","","","","WOS:000449539900002","","C:\Users\zn18986\Zotero\storage\VLKEYLNP\Chambers and Mellor - 2018 - Protocol transparency is vital for registered repo.pdf","","empirical; include_key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUCSZK3H","journalArticle","2015","Chronscinski, Denise; Cherukeri, Srujana; Tan, Fraser; Perfito, Nicole; Lomax, Joelle; Iorns, Elizabeth","Registered report: the androgen receptor induces a distinct transcriptional program in castration-resistant prostate cancer in man","Peerj","","2167-8359","10.7717/peerj.1231","","The Prostate Cancer Foundation-Movember Foundation Reproducibility Initiative (PCFMFRI) seeks to address growing concerns about reproducibility in scientific research by conducting replications of recent papers in the field of prostate cancer. This Registered Report describes the proposed replication plan of key experiments from "" The Androgen Receptor Induces a Distinct Transcriptional Program in Castration-Resistant Prostate Cancer in Man"" by Sharma and colleagues (2013), published in Cancer Cell in 2013. Of thousands of targets for the androgen receptor (AR), the authors elucidated a subset of 16 core genes that were consistently down-regulated with castration and re-emerged with castration resistance. These 16 AR binding sites were distinct from those observed in cells in culture. The authors suggested that cellular context can have dramatic effects on downstream transcriptional regulation of AR binding sites. The present study will attempt to replicate Fig. 7C by comparing gene expression of the 16 core genes identified by Sharma and colleagues in xenograft tumor tissue compared to androgen treated LNCaP cells in vitro. The Prostate Cancer Foundation-Movember Foundation Reproducibility Initiative is a collaboration between the Prostate Cancer Foundation, the Movember Initiative, and Science Exchange, and the results of the replications will be published by PeerJ.","2015-09-15","2019-10-07 21:19:59","2019-10-09 13:48:57","","e1231","","","3","","PeerJ","","","","","","","","English","","","","","","","WOS:000364324400004","","C:\Users\zn18986\Zotero\storage\EV8W883U\Chronscinski et al. - 2015 - Registered report the androgen receptor induces a.pdf","","Reproducibility; Methodology; target; gene; AR signaling; Castration-resistant prostate cancer; coregulators; Prostate cancer; recruitment; variant; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KK2FUY7","journalArticle","2015","Chroscinski, Denise; Maherali, Nimet; Griner, Erin","Registered report: The CD47-signal regulated protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors","Elife","","2050-084X","10.7554/elife.04586","","The Reproducibility Project: Cancer Biology seeks to address growing concerns about reproducibility in scientific research by conducting replications of 50 papers in the field of cancer biology published between 2010 and 2012. This Registered report describes the proposed replication plan of key experiments from 'The CD47-signal regulatory protein alpha (SIRPa) interaction is a therapeutic target for human solid tumors' by Willingham et al., 2012, published in PNAS in 2012. The key experiments being replicated are those reported in Figure 6A-C and Table S4. In these experiments, Willingham et al., 2012 test the safety and efficacy of anti-CD47 antibody treatment in immune competent mice utilizing a syngeneic model of mammary tumor growth in FVB mice. The Reproducibility Project: Cancer Biology is a collaboration between the Center for Open Science and Science Exchange, and the results of the replications will be published in eLife.","2015-01-26","2019-10-07 21:19:59","2019-10-08 22:06:28","","e04586","","","4","","eLife","","","","","","","","English","","","","","","","WOS:000348356200004","","C:\Users\zn18986\Zotero\storage\IQLXNBSE\Chroscinski et al. - 2015 - Registered report The CD47-signal regulated prote.pdf","","cd47; antibodies; lymphoma; promote phagocytosis; stem-cells; exclude_no reference to rrs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
